,Sample,SampleMean,Individual_1,Individual_2,Chain
0,0,0.5586222052376753,0.3754215377175626,0.5083354487181238,1
1,1,0.645831194243977,0.47757251328291556,0.32107118913083715,1
2,2,0.645831194243977,0.6048771333778651,0.7725215614632336,1
3,3,0.645831194243977,0.7637686213730818,0.46670881314606766,1
4,4,0.645831194243977,0.5154786504622948,0.37168658353716655,1
5,5,0.48493833338894465,0.28736784388892167,0.497348502423523,1
6,6,0.7470479798493507,0.9642623288898019,0.7285422913294095,1
7,7,0.7470479798493507,0.9642623288898019,0.7285422913294095,1
8,8,0.7470479798493507,0.9642623288898019,0.7285422913294095,1
9,9,0.7470479798493507,0.45826126051000576,0.7845555024849471,1
10,10,0.7470479798493507,0.45826126051000576,0.7845555024849471,1
11,11,0.7470479798493507,0.45826126051000576,0.7845555024849471,1
12,12,0.7858409340490612,0.6486777568725117,0.8805828767991893,1
13,13,0.4313727193147063,0.6080695705701579,0.29487204453785965,1
14,14,0.4313727193147063,0.5515272882040007,0.16184268691532014,1
15,15,0.3782052569366696,0.4401034703354714,0.23564080058002396,1
16,16,0.3782052569366696,0.3391385113133215,0.29535836715358205,1
17,17,0.3782052569366696,0.3391385113133215,0.29535836715358205,1
18,18,0.3782052569366696,0.3391385113133215,0.29535836715358205,1
19,19,0.3782052569366696,0.2715298846481189,0.7706661108123855,1
20,20,0.3782052569366696,0.2715298846481189,0.7706661108123855,1
21,21,0.3782052569366696,0.2715298846481189,0.7706661108123855,1
22,22,0.3782052569366696,0.2715298846481189,0.7706661108123855,1
23,23,0.3782052569366696,0.2715298846481189,0.7706661108123855,1
24,24,0.6978500205587922,0.8209103010553214,0.7354884913100574,1
25,25,0.6978500205587922,0.5309870523553197,0.8348227646085608,1
26,26,0.571546610120162,0.6326238690655953,0.5387591420140947,1
27,27,0.571546610120162,0.6326238690655953,0.5387591420140947,1
28,28,0.571546610120162,0.699209375438354,0.6728472593097543,1
29,29,0.571546610120162,0.6747984220115876,0.7473980224103011,1
30,30,0.571546610120162,0.569575527151362,0.8064288028744642,1
31,31,0.571546610120162,0.569575527151362,0.8064288028744642,1
32,32,0.7727146387923778,0.9042873267645881,0.7360065044750173,1
33,33,0.7727146387923778,0.9042873267645881,0.7360065044750173,1
34,34,0.8672736653102846,0.899770121561943,0.9044389585256604,1
35,35,0.8672736653102846,0.899770121561943,0.9044389585256604,1
36,36,0.8672736653102846,0.6874603340309233,0.9807895561666069,1
37,37,0.8672736653102846,0.6874603340309233,0.9807895561666069,1
38,38,0.8672736653102846,0.9383984968120104,0.7250847038669914,1
39,39,0.7558598062225063,0.9119236957757052,0.6036962197154635,1
40,40,0.7558598062225063,0.9119236957757052,0.6036962197154635,1
41,41,0.7558598062225063,0.9119236957757052,0.6036962197154635,1
42,42,0.8359923809346248,0.9354385420757395,0.9415278151221931,1
43,43,0.8359923809346248,0.9749008110885085,0.8789984663661434,1
44,44,0.8359923809346248,0.8515903973470581,0.8415534453063609,1
45,45,0.8359923809346248,0.8515903973470581,0.8415534453063609,1
46,46,0.8359923809346248,0.8826260974864977,0.9850200571220042,1
47,47,0.8359923809346248,0.8826260974864977,0.9850200571220042,1
48,48,0.8604468867994882,0.9930116963565214,0.9124372182232382,1
49,49,0.8604468867994882,0.9930116963565214,0.9124372182232382,1
50,50,0.8604468867994882,0.9917071116757906,0.9202774033398929,1
51,51,0.8604468867994882,0.9917071116757906,0.9202774033398929,1
52,52,0.8604468867994882,0.9917071116757906,0.9202774033398929,1
53,53,0.8604468867994882,0.9917071116757906,0.9202774033398929,1
54,54,0.8604468867994882,0.9917071116757906,0.9202774033398929,1
55,55,0.8604468867994882,0.9917071116757906,0.9202774033398929,1
56,56,0.8604468867994882,0.9917071116757906,0.9202774033398929,1
57,57,0.8604468867994882,0.9917071116757906,0.9202774033398929,1
58,58,0.8604468867994882,0.9917071116757906,0.9202774033398929,1
59,59,0.6141547582652744,0.811631171789673,0.5106509192802228,1
60,60,0.6141547582652744,0.6046390486651073,0.5909003002678014,1
61,61,0.6141547582652744,0.8936801389541322,0.7842474458756492,1
62,62,0.5100420570612169,0.5073792519654643,0.7967910550482762,1
63,63,0.5100420570612169,0.5073792519654643,0.7967910550482762,1
64,64,0.5100420570612169,0.5073792519654643,0.7967910550482762,1
65,65,0.5100420570612169,0.5073792519654643,0.7967910550482762,1
66,66,0.6791091273870147,0.6206111709620934,0.8478733707361794,1
67,67,0.6791091273870147,0.5294758258535107,0.6794501703347672,1
68,68,0.6791091273870147,0.5294758258535107,0.6794501703347672,1
69,69,0.6791091273870147,0.5294758258535107,0.6794501703347672,1
70,70,0.6791091273870147,0.4480589221397629,0.626271586729607,1
71,71,0.7639419345752806,0.9381390135048665,0.9009718109260956,1
72,72,0.7639419345752806,0.8805576035356802,0.7984654986050898,1
73,73,0.7639419345752806,0.8805576035356802,0.7984654986050898,1
74,74,0.7639419345752806,0.5788892196578149,0.6598612422486367,1
75,75,0.34935306044956876,0.4327128007202522,0.2849539276113102,1
76,76,0.34935306044956876,0.4327128007202522,0.2849539276113102,1
77,77,0.34935306044956876,0.4327128007202522,0.2849539276113102,1
78,78,0.34935306044956876,0.6387880196402206,0.38534716503022526,1
79,79,0.34935306044956876,0.6387880196402206,0.38534716503022526,1
80,80,0.34935306044956876,0.6387880196402206,0.38534716503022526,1
81,81,0.34935306044956876,0.6387880196402206,0.38534716503022526,1
82,82,0.34935306044956876,0.6387880196402206,0.38534716503022526,1
83,83,0.34935306044956876,0.8059832645640949,0.551732081239681,1
84,84,0.34935306044956876,0.8059832645640949,0.551732081239681,1
85,85,0.34935306044956876,0.8059832645640949,0.551732081239681,1
86,86,0.34935306044956876,0.8059832645640949,0.551732081239681,1
87,87,0.34935306044956876,0.8059832645640949,0.551732081239681,1
88,88,0.34935306044956876,0.8059832645640949,0.551732081239681,1
89,89,0.34935306044956876,0.8059832645640949,0.551732081239681,1
90,90,0.747113824272718,0.7772695819485694,0.7941900595579909,1
91,91,0.747113824272718,0.7772695819485694,0.7941900595579909,1
92,92,0.747113824272718,0.7772695819485694,0.7941900595579909,1
93,93,0.747113824272718,0.7772695819485694,0.7941900595579909,1
94,94,0.747113824272718,0.7772695819485694,0.7941900595579909,1
95,95,0.6767541571769952,0.8791316339002039,0.854653277188355,1
96,96,0.6767541571769952,0.8791316339002039,0.854653277188355,1
97,97,0.6767541571769952,0.8791316339002039,0.854653277188355,1
98,98,0.6767541571769952,0.5948159371340295,0.6557048927130494,1
99,99,0.6767541571769952,0.5948159371340295,0.6557048927130494,1
100,100,0.6767541571769952,0.7623327544758196,0.5319855419117961,1
101,101,0.5831148130411816,0.7373072062696487,0.26298822992950377,1
102,102,0.5831148130411816,0.27598372601882837,0.7090938420430086,1
103,103,0.5831148130411816,0.5648745716149939,0.5493253459564085,1
